79,유한회사갑기원,대표이사김정옥,전라북도 전주시 덕진구 상리로 50 (팔복동2가),063 -212 -5766,2017-11-03,한식,2018-08-11
80,세진회관,박영숙,전라북도 전주시 덕진구 기린대로 678 (팔복동2가),063 -213 -5999,2017-11-03,"비빔밥, 백반 등",2018-08-11
81,두거리탕,최문봉,전라북도 전주시 완산구 우전로 93 (효자동2가),063 -222 -1592,2017-11-01,갈비탕,2018-08-11
82,샹떼쥬르,김경화,"전라북도 전주시 완산구 마전4길 11-3 (효자동3가, 1층~3층)",063 -223 -7200,2017-11-01,"스파게티, 피자",2018-08-11
83,고창심원풍천장어,최용기,전라북도 전주시 완산구 신촌2길 26 (중화산동2가),063 -223 -9889,2017-11-01,장어구이,2018-08-11
84,풍남정(도청점),권정미,전라북도 전주시 완산구 마전2길 17-7 (효자동3가),063 -224 -5105,2017-11-01,대구탕·찜,2018-08-11
85,꾸지뽕시대,김영희,전라북도 전주시 완산구 소태정3길 9-4 (효자동2가),063 -224 -9970,2017-11-01,닭백숙,2018-08-11
86,금강복집,진경해,전라북도 전주시 완산구 홍산로 238 (효자동2가),063 -225 -1381,2017-11-01,복요리,2018-08-11
87,프리모파스타,박선진,"전라북도 전주시 완산구 홍산3길 7 (효자동3가,1~2층)",063 -225 -6688,2017-11-01,"파스타,피자",2018-08-11
88,샤브향중화산점,안병진,"전라북도 전주시 완산구 강변로 284 (중화산동2가, 2층)",063 -226 -4445,2017-11-01,버섯샤브샤브,2018-08-11
89,장수버섯마을,김기남,전라북도 전주시 완산구 영경1길 15 (중화산동2가),063 -227 -8184,2017-11-01,버섯전골,2018-08-11
90,라라코스트(전북도청점),대표이사 황성배,전라북도 전주시 완산구 홍산남로 73 (효자동3가),063 -228 -3230,2017-11-01,"피자,파스타",2018-08-11
91,연가,김은주,"전라북도 전주시 완산구 어은로 28, 2,3층 (중화산동2가)",063 -228 -3301,2017-11-01,버섯전골,2018-08-11
92,구가네보양촌,구자관,전라북도 전주시 완산구 평화15길 12 (평화동2가),063 -236 -0234,2017-11-01,"보신탕, 닭·오리보신용",2018-08-11
93,번지농장돌판아구찜,오현구,전라북도 전주시 완산구 바우배기2길 23 (효자동2가),063 -236 -4642,2017-11-01,아구찜,2018-08-11
94,콩누리마을,임시정,전라북도 전주시 완산구 홍산중앙로 14 (효자동3가),063 -236 -5279,2017-11-01,순두부·청국장정식,2018-08-11
95,어랑일식,박귀례,전라북도 전주시 완산구 홍산중앙로 20 (효자동3가),063 -236 -6223,2017-11-01,"생선회, 초밥",2018-08-11
96,배불뚝집(효자점),오원석,전라북도 전주시 완산구 홍산남로 80 (효자동3가),063 -236 -7000,2017-11-01,부대찌개,2018-08-11
97,주식회사종로상회전주혁신직영점,사내이사 문기태,전라북도 전주시 완산구 콩쥐팥쥐로 1599 (상림동),063 -237 -0292,2017-11-01,삼겹살구이,2018-08-11
98,정든집 김여사네,이정원,전라북도 전주시 완산구 신촌4길 5 (중화산동2가),063 -237 -1160,2017-11-01,동태찌개,2018-08-11
99,참예우한우명품관,조합장 김창수,전라북도 전주시 덕진구 견훤로 515 (호성동1가),063 -240 -2853,2017-11-03,고기류,2018-08-11
100,정가네양평해장국아중2호점,정슬의,전라북도 전주시 덕진구 아중로 146 (인후동1가),063 -241 -4447,2017-11-03,해장국등,2018-08-11
101,돔베초밥,전대군,"전라북도 전주시 덕진구 아중로 231, 1층 (우아동2가)",063 -241 -5566,2017-11-03,초밥류,2018-08-11
102,라라코스트(삼천점),김혁정,"전라북도 전주시 완산구 용리로 56, 102호 (삼천동1가)",063 -243 -3230,2017-11-01,"피자,파스타",2018-08-11
103,착한밥상,김영희,전라북도 전주시 덕진구 진버들3길 4-3 (인후동1가),063 -244 -2212,2017-11-03,백반등,2018-08-11
104,십장생오리아중점,강성희,전라북도 전주시 덕진구 아중로 129 (인후동1가),063 -244 -3020,2017-11-03,오리고기 등,2018-08-11
105,정가네양평해장국아중점,정은하,"전라북도 전주시 덕진구 건산로 259, 1층 (우아동2가)",063 -244 -4411,2017-11-03,해장국등,2018-08-11
106,남원요천추어탕,강정희,전라북도 전주시 덕진구 백제대로 695 (인후동2가),063 -244 -5161,2017-11-03,추어탕,2018-08-11
107,한가정,김기묘,전라북도 전주시 덕진구 팽나무5길 9 (인후동1가),063 -245 -0680,2017-11-03,찌게등,2018-08-11
108,더맛,박은아,전라북도 전주시 덕진구 건산로 235 (인후동1가),063 -245 -4600,2017-11-03,찌게 등,2018-08-11
109,고려옥,정성이,"전라북도 전주시 덕진구 동부대로 429, 1층 (우아동2가)",063 -245 -5002,2017-11-03,찌게 등,2018-08-11
